State,Medicaid_Expanded,Total_Enrollment,All_Determinants_Rank,All_Determinants_Value,Cancer_Deaths_Rank,Cancer_Deaths_Value,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value,Cholesterol_Check_Rank,Cholesterol_Check_Value,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value,Diabetes_Rank,Diabetes_Value,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value,Drug_Deaths_Rank,Drug_Deaths_Value,High_Blood_Pressure_Rank,High_Blood_Pressure_Value,High_Cholesterol_Rank,High_Cholesterol_Value,Immunizations_Children_Rank,Immunizations_Children_Value,Infant_Mortality_Rank,Infant_Mortality_Value,Obesity_Rank,Obesity_Value,Premature_Death_Rank,Premature_Death_Value,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value,Underemployment_Rate_Rank,Underemployment_Rate_Value,Unemployment_Rate_Rank,Unemployment_Rate_Value,Uninsured_Rank,Uninsured_Value,Year
Pennsylvania,Y,2911398.0,26.0,0.058,35.0,200.2,35.0,269.0,22.0,86.1,8.0,84.9,28.0,11.3,8.0,20.6,47.0,35.1,29.0,32.6,24.0,33.0,26.0,70.4,28.0,6.1,25.0,30.9,33.0,8186.0,5.0,216.3,40.0,8.4,40.0,4.3,9.0,5.5,2019
Texas,N,4170853.0,39.0,-0.26,11.0,180.3,34.0,267.7,35.0,84.6,48.0,68.2,40.0,12.6,21.0,25.2,4.0,10.3,28.0,32.5,24.0,33.0,41.0,67.8,21.0,5.8,40.0,34.8,22.0,7240.0,45.0,113.5,21.0,7.4,24.0,3.8,50.0,17.5,2019
North Dakota,Y,89466.0,20.0,0.21600000000000005,10.0,176.8,10.0,227.5,45.0,80.9,42.0,72.6,11.0,9.4,22.0,25.3,3.0,9.3,8.0,29.5,10.0,31.1,4.0,78.8,13.0,5.4,43.0,35.1,19.0,6914.0,20.0,154.9,1.0,4.7,5.0,2.8,22.0,7.4,2019
Arizona,Y,1716801.0,34.0,-0.187,4.0,168.5,7.0,223.8,30.0,85.2,40.0,73.6,23.0,10.8,31.0,27.1,29.0,20.8,18.0,30.7,28.0,33.4,44.0,66.5,16.0,5.6,15.0,29.5,24.0,7467.0,40.0,125.8,45.0,9.1,45.0,4.7,39.0,10.4,2019
Kentucky,Y,1187486.0,42.0,-0.311,50.0,233.4,42.0,301.2,18.0,86.8,17.0,81.0,44.0,13.7,12.0,21.9,46.0,32.2,46.0,39.4,49.0,38.1,23.0,71.0,36.0,6.6,46.0,36.6,47.0,10400.0,39.0,127.0,35.0,8.1,41.0,4.4,9.0,5.5,2019
Massachusetts,Y,1556909.0,2.0,0.6859999999999999,15.0,182.6,3.0,209.8,12.0,88.2,1.0,86.7,3.0,8.6,39.0,29.2,43.0,29.3,5.0,28.6,19.0,32.4,1.0,82.1,1.0,3.8,4.0,25.7,6.0,6130.0,2.0,247.4,19.0,7.0,15.0,3.4,1.0,2.8,2019
Louisiana,Y,1503023.0,49.0,-0.64,44.0,214.5,46.0,323.5,25.0,85.9,27.0,76.7,47.0,14.1,4.0,18.3,31.0,21.3,45.0,39.0,47.0,37.6,28.0,70.0,46.0,7.5,47.0,36.8,45.0,10169.0,30.0,139.7,47.0,9.4,48.0,4.9,27.0,8.2,2019
Oklahoma,N,716103.0,46.0,-0.4370000000000001,47.0,219.2,49.0,347.5,44.0,82.0,32.0,75.8,36.0,12.5,38.0,29.0,28.0,20.3,42.0,37.7,44.0,37.0,43.0,67.3,47.0,7.6,40.0,34.8,44.0,9945.0,37.0,131.2,24.0,7.5,15.0,3.4,49.0,14.2,2019
South Carolina,N,1029967.0,45.0,-0.411,38.0,201.7,36.0,278.5,14.0,87.5,30.0,76.1,43.0,13.3,26.0,26.4,23.0,18.0,43.0,38.1,42.0,36.7,49.0,66.0,38.0,6.7,37.0,34.3,41.0,9255.0,35.0,131.3,18.0,6.9,18.0,3.5,42.0,10.8,2019
California,Y,11548401.0,16.0,0.272,5.0,168.9,17.0,236.7,13.0,87.6,35.0,74.7,19.0,10.4,47.0,31.8,7.0,12.1,4.0,28.4,7.0,30.8,39.0,68.6,5.0,4.2,5.0,25.8,1.0,5665.0,28.0,141.4,43.0,8.8,35.0,4.2,21.0,7.2,2019
Illinois,Y,2807453.0,25.0,0.078,34.0,198.7,33.0,262.4,18.0,86.8,13.0,82.0,15.0,10.0,35.0,28.6,24.0,18.1,25.0,32.2,20.0,32.5,9.0,75.4,31.0,6.2,27.0,31.8,21.0,7158.0,10.0,190.0,35.0,8.1,35.0,4.2,19.0,6.9,2019
Alabama,N,922597.0,46.0,-0.4370000000000001,42.0,210.8,48.0,347.0,14.0,87.5,22.0,78.1,49.0,14.5,33.0,28.0,19.0,16.1,49.0,41.9,45.0,37.2,21.0,71.2,49.0,8.2,45.0,36.2,48.0,10435.0,42.0,122.8,20.0,7.3,28.0,3.9,37.0,9.7,2019
Ohio,Y,2617316.0,37.0,-0.21,43.0,210.9,39.0,291.3,29.0,85.3,20.0,79.7,35.0,12.2,15.0,23.3,49.0,37.3,36.0,34.7,28.0,33.4,45.0,66.4,41.0,7.3,34.0,34.0,42.0,9399.0,13.0,178.2,38.0,8.3,43.0,4.5,16.0,6.3,2019
Oregon,Y,984653.0,17.0,0.262,26.0,190.6,9.0,226.1,36.0,84.5,34.0,75.0,26.0,11.0,37.0,28.8,10.0,12.4,12.0,30.1,17.0,32.1,27.0,70.3,12.0,5.0,19.0,29.9,12.0,6561.0,25.0,147.4,38.0,8.3,30.0,4.1,20.0,7.0,2019
New Mexico,Y,735867.0,35.0,-0.193,7.0,170.0,12.0,231.4,42.0,82.1,47.0,68.9,36.0,12.5,28.0,26.5,39.0,24.7,14.0,30.5,13.0,31.4,19.0,71.9,28.0,6.1,29.0,32.3,40.0,9135.0,26.0,144.7,45.0,9.1,45.0,4.7,33.0,9.3,2019
Montana,Y,261547.0,24.0,0.097,18.0,185.4,22.0,240.2,46.0,80.6,41.0,72.8,9.0,9.3,9.0,20.8,10.0,12.4,6.0,29.0,2.0,28.8,47.0,66.2,16.0,5.6,6.0,26.9,27.0,7660.0,44.0,116.0,24.0,7.5,23.0,3.7,30.0,8.4,2019
Iowa,Y,690673.0,21.0,0.209,31.0,195.3,27.0,252.2,37.0,84.4,12.0,82.5,15.0,10.0,40.0,30.5,5.0,10.6,22.0,31.5,30.0,34.1,16.0,72.8,19.0,5.7,44.0,35.3,16.0,6733.0,22.0,152.2,2.0,5.2,1.0,2.5,6.0,4.7,2019
Utah,N,304947.0,6.0,0.476,1.0,149.8,19.0,238.7,48.0,80.0,42.0,72.6,2.0,8.4,44.0,31.5,35.0,23.0,1.0,24.5,1.0,28.6,40.0,67.9,16.0,5.6,10.0,27.7,10.0,6391.0,49.0,102.0,10.0,6.1,13.0,3.3,33.0,9.3,2019
South Dakota,N,109187.0,28.0,-0.02,22.0,188.9,21.0,240.1,42.0,82.1,35.0,74.7,9.0,9.3,2.0,16.8,2.0,8.4,19.0,30.8,4.0,29.5,12.0,74.7,32.0,6.3,20.0,30.1,31.0,7838.0,34.0,131.4,6.0,5.8,8.0,2.9,36.0,9.5,2019
Washington,Y,1709289.0,7.0,0.425,16.0,184.7,6.0,222.4,26.0,85.6,31.0,76.0,14.0,9.9,43.0,31.1,16.0,15.2,8.0,29.5,14.0,31.8,29.0,69.9,4.0,4.1,13.0,28.7,5.0,6094.0,23.0,150.0,40.0,8.4,41.0,4.4,16.0,6.3,2019
Arkansas,Y,852157.0,48.0,-0.478,46.0,217.7,47.0,338.3,41.0,82.8,16.0,81.3,46.0,13.9,10.0,21.6,14.0,14.2,48.0,41.3,43.0,36.8,34.0,69.4,48.0,8.1,48.0,37.1,46.0,10210.0,43.0,122.3,28.0,7.7,24.0,3.8,25.0,8.1,2019
New Hampshire,Y,176734.0,5.0,0.542,28.0,192.3,8.0,226.0,11.0,88.8,2.0,86.2,18.0,10.3,42.0,30.9,48.0,35.2,11.0,30.0,23.0,32.8,3.0,78.9,2.0,3.9,18.0,29.6,17.0,6770.0,18.0,162.9,4.0,5.6,2.0,2.6,14.0,5.8,2019
Vermont,Y,149642.0,1.0,0.687,33.0,197.0,19.0,238.7,22.0,86.1,4.0,85.7,8.0,9.2,3.0,17.4,27.0,19.9,13.0,30.4,6.0,30.4,15.0,74.0,3.0,4.0,8.0,27.5,14.0,6646.0,11.0,188.7,5.0,5.7,4.0,2.7,3.0,4.3,2019
Maine,Y,255593.0,14.0,0.32,40.0,209.3,13.0,233.6,28.0,85.4,5.0,85.2,21.0,10.6,34.0,28.3,41.0,27.0,39.0,34.8,46.0,37.4,17.0,72.7,21.0,5.8,23.0,30.4,25.0,7575.0,7.0,199.1,30.0,7.8,18.0,3.5,25.0,8.1,2019
Georgia,N,1801767.0,43.0,-0.315,30.0,194.8,38.0,285.3,7.0,89.4,44.0,71.8,40.0,12.6,30.0,26.8,13.0,13.6,33.0,33.1,10.0,31.1,50.0,65.6,43.0,7.4,30.0,32.5,34.0,8243.0,41.0,123.9,33.0,8.0,28.0,3.9,48.0,13.6,2019
Mississippi,N,607772.0,50.0,-0.6559999999999999,49.0,226.8,50.0,363.2,34.0,84.7,37.0,74.0,48.0,14.3,5.0,18.8,7.0,12.1,47.0,40.8,48.0,37.7,38.0,68.7,50.0,8.6,49.0,39.5,49.0,11043.0,47.0,110.8,42.0,8.7,47.0,4.8,45.0,12.1,2019
Wyoming,N,53843.0,23.0,0.113,6.0,169.5,15.0,234.7,47.0,80.4,49.0,67.8,4.0,8.7,7.0,19.6,17.0,15.3,19.0,30.8,7.0,30.8,18.0,72.0,10.0,4.8,14.0,29.0,23.0,7412.0,46.0,111.0,31.0,7.9,35.0,4.2,44.0,11.4,2019
Virginia,Y,1372173.0,15.0,0.293,24.0,190.1,23.0,242.6,16.0,87.0,24.0,77.8,20.0,10.5,24.0,26.2,18.0,15.4,26.0,32.4,37.0,34.7,6.0,77.1,24.0,5.9,22.0,30.3,19.0,6914.0,24.0,148.1,14.0,6.4,8.0,2.9,31.0,8.8,2019
Wisconsin,N,1035364.0,22.0,0.129,25.0,190.4,23.0,242.6,31.0,85.0,11.0,82.6,4.0,8.7,17.0,23.7,25.0,18.3,19.0,30.8,34.0,34.5,36.0,69.2,33.0,6.4,28.0,32.0,18.0,6800.0,21.0,152.4,8.0,6.0,10.0,3.0,9.0,5.5,2019
New Jersey,Y,1679110.0,8.0,0.419,12.0,180.4,25.0,247.2,2.0,91.1,21.0,79.6,23.0,10.8,17.0,23.7,34.0,22.8,32.0,33.0,35.0,34.6,35.0,69.3,6.0,4.3,3.0,25.6,9.0,6329.0,12.0,181.0,28.0,7.7,35.0,4.2,24.0,7.6,2019
Alaska,Y,221152.0,29.0,-0.027000000000000003,18.0,185.4,11.0,227.6,50.0,75.1,50.0,63.0,6.0,8.8,16.0,23.5,22.0,17.6,23.0,31.8,12.0,31.2,32.0,69.5,15.0,5.5,15.0,29.5,37.0,8513.0,29.0,141.2,50.0,12.0,50.0,6.6,47.0,13.2,2019
Tennessee,N,1433004.0,41.0,-0.303,45.0,217.2,45.0,313.6,10.0,89.0,29.0,76.4,45.0,13.8,23.0,26.0,38.0,24.3,44.0,38.7,41.0,36.5,2.0,79.3,43.0,7.4,38.0,34.4,43.0,9931.0,31.0,139.1,16.0,6.8,18.0,3.5,38.0,9.8,2019
Idaho,N,265065.0,19.0,0.226,17.0,184.8,26.0,247.8,49.0,78.4,45.0,71.1,17.0,10.2,13.0,22.0,15.0,14.5,10.0,29.8,7.0,30.8,36.0,69.2,13.0,5.4,12.0,28.4,15.0,6669.0,50.0,96.6,12.0,6.3,10.0,3.0,40.0,10.6,2019
Michigan,Y,2284611.0,31.0,-0.1,36.0,200.9,41.0,300.7,9.0,89.2,6.0,85.1,32.0,11.7,6.0,18.9,37.0,23.9,36.0,34.7,38.0,35.1,29.0,69.9,36.0,6.6,31.0,33.0,32.0,8111.0,6.0,205.2,31.0,7.9,30.0,4.1,7.0,5.3,2019
Minnesota,Y,1020355.0,11.0,0.343,14.0,181.8,1.0,193.8,17.0,86.9,32.0,75.8,7.0,8.9,29.0,26.7,7.0,12.1,3.0,26.6,3.0,29.0,48.0,66.1,11.0,4.9,20.0,30.1,2.0,5683.0,16.0,169.5,3.0,5.4,5.0,2.8,4.0,4.4,2019
West Virginia,Y,510779.0,40.0,-0.282,48.0,224.9,44.0,303.7,21.0,86.6,15.0,81.4,50.0,16.2,26.0,26.4,50.0,48.3,50.0,43.5,50.0,39.7,12.0,74.7,40.0,7.2,49.0,39.5,50.0,11448.0,14.0,172.8,49.0,9.8,49.0,5.3,16.0,6.3,2019
Hawaii,Y,326580.0,3.0,0.605,2.0,159.1,3.0,209.8,39.0,83.5,7.0,85.0,29.0,11.5,1.0,14.5,12.0,13.3,16.0,30.6,14.0,31.8,31.0,69.8,19.0,5.7,2.0,24.9,7.0,6245.0,8.0,193.9,10.0,6.1,2.0,2.6,2.0,4.0,2019
Nevada,Y,626688.0,36.0,-0.195,23.0,189.7,43.0,302.6,32.0,84.8,46.0,69.5,22.0,10.7,19.0,23.8,33.0,22.1,29.0,32.6,27.0,33.1,20.0,71.3,21.0,5.8,15.0,29.5,30.0,7785.0,48.0,107.4,48.0,9.5,43.0,4.5,43.0,11.2,2019
New York,Y,6480784.0,9.0,0.395,9.0,176.4,30.0,259.4,6.0,89.5,18.0,80.4,26.0,11.0,35.0,28.6,21.0,17.0,7.0,29.4,22.0,32.6,42.0,67.5,7.0,4.5,9.0,27.6,3.0,5830.0,3.0,230.7,35.0,8.1,30.0,4.1,12.0,5.6,2019
Nebraska,N,243090.0,18.0,0.249,21.0,187.6,16.0,236.4,37.0,84.4,25.0,77.7,12.0,9.7,48.0,32.5,1.0,7.2,16.0,30.6,16.0,31.9,5.0,77.9,24.0,5.9,35.0,34.1,11.0,6555.0,19.0,158.2,6.0,5.8,5.0,2.8,28.0,8.3,2019
Florida,N,3621088.0,33.0,-0.173,13.0,181.1,17.0,236.7,8.0,89.3,39.0,73.8,40.0,12.6,32.0,27.2,32.0,21.4,35.0,34.6,40.0,35.9,8.0,76.2,28.0,6.1,24.0,30.7,29.0,7739.0,35.0,131.3,27.0,7.6,22.0,3.6,46.0,13.0,2019
Maryland,Y,1317729.0,13.0,0.342,20.0,187.2,32.0,262.1,3.0,91.0,10.0,83.6,34.0,12.0,49.0,32.9,45.0,30.2,26.0,32.4,20.0,32.5,11.0,75.2,35.0,6.5,25.0,30.9,28.0,7689.0,9.0,192.1,33.0,8.0,35.0,4.2,15.0,6.1,2019
Delaware,Y,246494.0,27.0,-0.012,37.0,201.3,28.0,256.4,5.0,90.2,14.0,81.7,33.0,11.9,20.0,25.0,42.0,29.2,40.0,34.9,35.0,34.6,6.0,77.1,41.0,7.3,33.0,33.5,35.0,8268.0,17.0,166.2,21.0,7.4,24.0,3.8,13.0,5.7,2019
Missouri,N,833914.0,38.0,-0.252,39.0,206.3,40.0,295.3,26.0,85.6,28.0,76.6,29.0,11.5,25.0,26.3,30.0,21.1,24.0,32.0,33.0,34.3,21.0,71.2,33.0,6.4,42.0,35.0,38.0,8828.0,15.0,171.5,16.0,6.8,12.0,3.2,33.0,9.3,2019
Rhode Island,Y,290961.0,10.0,0.384,27.0,191.7,14.0,234.5,4.0,90.5,3.0,86.1,25.0,10.9,44.0,31.5,44.0,29.7,33.0,33.1,24.0,33.0,14.0,74.4,26.0,6.0,10.0,27.7,13.0,6602.0,1.0,274.9,21.0,7.4,30.0,4.1,4.0,4.4,2019
Connecticut,Y,847287.0,4.0,0.574,8.0,174.2,5.0,219.8,1.0,91.4,9.0,84.2,12.0,9.7,41.0,30.7,40.0,26.4,14.0,30.5,18.0,32.2,10.0,75.3,8.0,4.7,7.0,27.4,4.0,6091.0,4.0,220.0,44.0,8.9,30.0,4.1,8.0,5.4,2019
Kansas,N,374705.0,30.0,-0.034,29.0,194.7,31.0,261.8,32.0,84.8,25.0,77.7,31.0,11.6,10.0,21.6,6.0,11.6,31.0,32.8,30.0,34.1,32.0,69.5,26.0,6.0,38.0,34.4,26.0,7608.0,32.0,138.1,8.0,6.0,15.0,3.4,31.0,8.8,2019
Colorado,Y,1266840.0,11.0,0.343,3.0,163.1,2.0,207.2,24.0,86.0,37.0,74.0,1.0,7.0,50.0,37.6,20.0,16.6,2.0,25.9,5.0,30.3,23.0,71.0,8.0,4.7,1.0,22.9,8.0,6288.0,27.0,143.4,12.0,6.3,13.0,3.3,23.0,7.5,2019
North Carolina,N,1730817.0,32.0,-0.14800000000000002,32.0,196.1,29.0,257.2,20.0,86.7,23.0,78.0,36.0,12.5,46.0,31.7,26.0,19.5,36.0,34.7,39.0,35.5,25.0,70.9,39.0,7.1,31.0,33.0,36.0,8276.0,33.0,134.4,24.0,7.5,24.0,3.8,41.0,10.7,2019
Indiana,Y,1461776.0,44.0,-0.325,41.0,209.5,37.0,282.6,40.0,83.4,19.0,79.8,36.0,12.5,14.0,22.9,36.0,23.7,41.0,35.2,30.0,34.1,46.0,66.3,43.0,7.4,35.0,34.1,39.0,8995.0,38.0,127.2,15.0,6.6,18.0,3.5,28.0,8.3,2019
